Country|Latitude|Longitude
Côte d'Ivoire|7.4437281|-10.0496287
Vietnam|15.6067825|96.8561125
Nigeria|9.006458|4.1755425
Zambia|-13.1012198|23.3528665
Tanzania|-6.353322|30.487717
Rwanda|-1.9432846|28.7588037
Haiti|19.0318156|-74.2365348
Zimbabwe|-18.9611863|24.6526763
Ethiopia|9.1214231|35.9974942
South Africa|-33.2731656|9.0969878
Guyana|4.9282827|-63.4553019
Namibia|-22.710747|9.3231204
Botswana|-22.2807308|20.187829
Mozambique|-18.4207913|26.7560438
Kenya|0.1540835|33.4059325
Kazakhstan|46.5870866|48.9952107
Uganda|1.3671048|30.0576258
Kyrgyzstan|41.1354317|70.246989
Senegal|14.4682784|-16.7622713
Benin|9.2791404|-2.1925042
Lesotho|-29.618474|27.1120145
Pakistan|30.0488199|60.3207528
Swaziland|-26.5132761|30.3412839
Ghana|7.8803834|-5.5324466
Angola|-11.0771818|8.7193897
Lebanon|33.8684792|34.7260063
Sierra Leone|8.415912|-14.0830301
Cameroon|7.3471271|7.791911
South Sudan|7.8387265|25.1928792
Burundi|-3.3888815|28.8036234
Dominican Republic|18.6665705|-71.2516156
Malawi|-13.2089451|29.7942408
Congo, DRC|-3.9833103|12.6658026
Sudan|15.5990099|21.2001114
Mali|17.368833|-13.0380704
Guatemala|15.7113732|-92.4801466
Togo|8.6038955|-1.4131025
Afghanistan|33.8523192|63.2079505
Liberia|6.4059608|-11.697999
Burkina Faso|12.2381352|-3.799893
Guinea|9.9254097|-13.7054347
Libya|26.0765735|8.2940585
Belize|17.187681|-89.4417154
